"Barbara Cohen","11268"
"Laura C. Schlessinger","8967"
"John Gove","7158"
"Florence Haseltine","10739"
"Regina Domeraski","2601"
"Isaak Babel","5197"
"Bill Schmidt","15339"
"Darren Aronofsky","13558"
"Rosalind Fergusson","8123"
"Mimi Noland","12838"
"Anne Frank","342"
"Wolfgang Büscher","8150"
"Whoopi Goldberg","1952"
"David Isaacs","12775"
"Paul Cowan","5158"
"Dale Bailey","15264"
"Andrew M Greeley","10707"
"Janice Novak","7104"
"John Fowles","1088"
"Anne Mortimer","10781"
"Carroll","11653"
"Dan Mahoney","6471"
"Sylvia Nasar","1045"
"Linda French","11807"
"Sang Hun Lee","5390"
"Caroline Einhäupl","9978"
"Beatrice Culleton Mosionier","11856"
"Betty Wind","14915"
"Françoise Brun","1888"
"Nina Olligschläger","8955"
"Phyllis A. Whitney","4137"
"John Roger","8868"
"Robert A. Harper","9247"
"Mathew Tekulsky","11340"
"Annie Elizabeth Delany","1934"
"Victoria Magazine","13814"
"Alice Joyce Davidson","8825"
"ANNA PAVORD","3402"
"Elizabeth Barrett Browning","11759"
"Jim Schutze","4181"
"Francis Wheen","480"
"Christopher Awdry","5980"
"Gregory Frost","1758"
"Anne Newlands","5116"
"C. S. Forester","6514"
"Peter Downey","14066"
"Claire Malignon","13702"
"Ian Gibson","3559"
"Shelley Fisher Fishkin","15025"
"Cheryle B. Torsney","10212"
"Thomas H. Naylor","7220"
"B. Alison Weir","8222"
"Molly Jong-Fast","4725"
"V. Stanford Hampson","11246"
"Amanda Davis","3952"
"Allan Eckert","4280"
"Torey L. Hayden","8543"
"Doris Elaine Sauter","3931"
"R. H. W. Dillard","9951"
"Sandra Mattielli","11952"
"Kathryn Shay","5223"
"Eric V Lustbader","14402"
"Paul Foote","12410"
"Aaron Karo","11446"
"Joan Younger Meek","12787"
"N. Richard Nash","4207"
"Stuart/Jacobson.","6596"
"David Farland","8565"
"Ilon Wikland","9172"
"Mort Gale","5467"
"Deborah Grandinetti","9096"
"Arthur Waldhorn","13658"
"Sarah Masters Buckey","4145"
"Carlo Fruttero","9102"
"Kathy Goldring","6852"
"Robert E. Weinberg","2318"
"Margaret Levine You","13777"
"B. Wilson","4746"
"Herbert Gold","7954"
"The Editors Of Entertainment Weekly","4848"
"Sue Hellard","9071"
"Bernhard Robben","2915"
"Jeff Cox","4130"
"Wilbur Smith","559"
"John Geiger","9958"
"Christopher S. Hyatt","11716"
"Helga Hegewisch","2485"
"Margery Morgan","14515"
"J. G. Ballard","10300"
"Sara Be","7035"
"Twain","9125"
"Michael Beres","4897"
"Robert J. Wicks","7582"
"Victor Hugo","1464"
"Jane R. Hirschmann","6597"
"Mickey Spillane","3281"
"Joanne Bremer","10373"
"Michael Smith","13828"
"Paul Negri","14634"
"LeRoy Eims","14892"
"Carl Deuker","14287"
"Wendy Wasserstein","8021"
"Bob Roper","15394"
"W. Steven Brown","4657"
"Hongzhi Li","14474"
"Josephine Hart","8686"
"Allan Ahlberg","2933"
"Philippe Ames","6656"
"Stefan Fatsis","3256"
"Nicols Fox","14571"
"Linda Fairstein","8096"
"Doris Elaine Fell","5354"
"Benjamin Spock","9579"
"Marsha Canham","2253"
"Abbie Zabar","8315"
"Jennifer Mikels","11568"
"Pascale De Bourgoing","13531"
"V.S. Naipaul","15598"
"Linda Elder","10463"
"Mary Theola","10512"
"Philip Casey","10311"
"Chris Fabry","3268"
"P.R.M. Oliver","4762"
"Elinor Lipman","4814"
"Louis Sachar","1176"
"Kathleen Barry","10648"
"Monika Elwenspoek","3388"
"C. J. Cherryh","3076"
"Mike Mason","14990"
"Robert Aunger","8292"
"Loretta Lynn","8165"
"George Vecsey","13296"
"Frank Yerby","15289"
"Mimi Wilson","15004"
"Ronald F. Bridges","14899"
"Tillie Olsen","9855"
"Mr. Jim Weidmann","12744"
"Lindy Arriaga Diaz","3060"
"Merrill F. Elias","10650"
"Albert H. Morehead","14782"
"John Lantigua","4229"
"Jean Craighead GEORGE","12064"
"R. J. Hollingdale","3724"
"Marilyn Bowering","11815"
"Deborah Werksman","9875"
"Jennifer Dewey","12902"
"Sigmund Freud","1899"
"Harold Hutchins","14428"
"Mel Curtis","2097"
"Patricia Sprinkle","2358"
"Gerald Leinwand","13656"
"David Gamon","11026"
"Sheila Gordon","14329"
"Douglas Stone","7636"
"Roberto G. Fernandez","8074"
"Bill Robison","15445"
"Brian MacArthur","3701"
"Stephen R. Covey","1875"
"James B. South","9188"
"Melissa McClone","399"
"John","5801"
"Jamaica Kincaid","3632"
"Michael; Hickman","4522"
"Peter Shaffer","7982"
"Richard Blackaby","4592"
"Philip J. Davis","10332"
"Christopher Hyde","12224"
"A. Manette Ansay","340"
"C.S. Lewis","41"
"Diane Martin","9713"
"Richard Belzer","813"
"Helen  Fielding","5339"
"Monica Hoose","14261"
"Birnbach","6992"
"Miles Hewstone","10943"
"Glenn Stout","9442"
"Patricia D. Benke","7175"
"Patricia Geary","14337"
"Claudio Paglieri","2554"
"Carol H. Munter","6598"
"John Cunliffe","7608"
"Nancy C. Gamble","10491"
"Victoria Looseleaf","5459"
"Lael Littke","2497"
"A. Grove Day","9182"
"Monique Mandali","11088"
"Gail Mathabane","2155"
"Jung Chang","7365"
"David Hagberg","3590"
"John Saul","237"
"John R. W. Stott","14897"
"Jude Deveraux","1092"
"Lindsy Van Gelder","14511"
"P. H. Davison","8016"
"Christopher Isherwood","1999"
"Nava Renek","8063"
"V. Vale","9827"
"Maureen Tan","11797"
"John McAfee","13156"
"Philip Hazel","3569"
"Tracy Hickman","1042"
"Suzanne Scott","6724"
"Elizabeth Sherrill","1251"
"Dorothy Bryant","8206"
"Ahne","2491"
"Marcel Reich-Ranicki","9081"
"Josh Kirby","11535"
"Scott Hahn","12795"
"Laura Rader","2623"
"Susan Andersen","13180"
"Arthur Robins","14936"
"H. J. Oliver","7265"
"William Martin","2587"
"Jonathan Raban","5449"
"Gwen Shamblin","14296"
"Richard North Patterson","50"
"Maria Benedickt","13878"
"Boris Vallejo","10675"
